system:index,acq_date,incendio,random_date_id,.geo
0,2009-12-28,0,0.9926722111642124,"{""type"":""Point"",""coordinates"":[-75.5521215473338,-5.882379700992915]}"
1,2009-06-24,0,0.47945516158919255,"{""type"":""Point"",""coordinates"":[-76.74697083453398,-6.6726823357299025]}"
2,2009-05-04,0,0.33874049399554274,"{""type"":""Point"",""coordinates"":[-76.16456069117528,-5.906320557671209]}"
3,2009-05-03,0,0.3352208563459741,"{""type"":""Point"",""coordinates"":[-75.68574152044755,-6.224278076163242]}"
4,2009-11-09,0,0.8588500785938055,"{""type"":""Point"",""coordinates"":[-76.16096804971144,-6.558646082464617]}"
5,2009-05-01,0,0.3305552653299607,"{""type"":""Point"",""coordinates"":[-76.68244565675566,-5.399995483023551]}"
6,2009-11-10,0,0.860446188889702,"{""type"":""Point"",""coordinates"":[-76.83119639273687,-6.843242986862935]}"
7,2009-10-10,0,0.7752247367344842,"{""type"":""Point"",""coordinates"":[-76.6528349809883,-6.657837978191169]}"
9,2009-01-11,0,0.029332132126502986,"{""type"":""Point"",""coordinates"":[-76.75572773731696,-6.696116083768962]}"
10,2009-07-02,0,0.5006617483506466,"{""type"":""Point"",""coordinates"":[-76.41004319664097,-6.635301014584928]}"
11,2009-01-15,0,0.039411114019708204,"{""type"":""Point"",""coordinates"":[-76.89683303442592,-6.5749903992962055]}"
13,2009-02-15,0,0.12468738618643238,"{""type"":""Point"",""coordinates"":[-77.21180440723553,-5.39776817495506]}"
14,2009-06-03,0,0.42218669425765465,"{""type"":""Point"",""coordinates"":[-75.89152757203433,-6.140503448389999]}"
15,2009-12-05,0,0.929793508766755,"{""type"":""Point"",""coordinates"":[-76.28088372901857,-6.60024344042182]}"
16,2009-10-20,0,0.8044307054968068,"{""type"":""Point"",""coordinates"":[-77.43871611391367,-5.851710851525425]}"
17,2009-02-04,0,0.0955848720264838,"{""type"":""Point"",""coordinates"":[-76.07104877103448,-6.950538468924696]}"
18,2009-12-14,0,0.9536618236098862,"{""type"":""Point"",""coordinates"":[-77.4440785223658,-6.965586863586331]}"
19,2009-01-01,0,0.0012386431790574193,"{""type"":""Point"",""coordinates"":[-76.36918688461087,-5.797671068529707]}"
20,2009-10-18,0,0.7969308430332435,"{""type"":""Point"",""coordinates"":[-76.91418709127078,-5.530786000980501]}"
21,2009-01-05,0,0.011528844895029922,"{""type"":""Point"",""coordinates"":[-77.33989801092913,-7.232373566693578]}"
22,2009-06-02,0,0.42008092435663025,"{""type"":""Point"",""coordinates"":[-77.21308372983232,-5.237140372877251]}"
23,2009-12-02,0,0.9210613780422128,"{""type"":""Point"",""coordinates"":[-77.51645275784907,-6.9338065388714725]}"
24,2009-08-23,0,0.6433030529516917,"{""type"":""Point"",""coordinates"":[-75.74342232378346,-7.502611835705684]}"
25,2009-01-30,0,0.08127722270010218,"{""type"":""Point"",""coordinates"":[-77.37382860861014,-6.456445234793438]}"
26,2009-08-08,0,0.6031467645996511,"{""type"":""Point"",""coordinates"":[-77.03036089290791,-6.368662376296837]}"
27,2009-11-27,0,0.9078122105381002,"{""type"":""Point"",""coordinates"":[-75.61074686603133,-6.536633754882988]}"
28,2009-08-04,0,0.5910057224082614,"{""type"":""Point"",""coordinates"":[-77.44889142586435,-6.727275952714791]}"
29,2009-11-06,0,0.8507752470731016,"{""type"":""Point"",""coordinates"":[-77.51096806537585,-6.987442347939161]}"
30,2009-05-27,0,0.40158619244859695,"{""type"":""Point"",""coordinates"":[-76.50972621036057,-5.900355019577343]}"
31,2009-08-26,0,0.6525306320349047,"{""type"":""Point"",""coordinates"":[-77.10755017823716,-6.360887636963093]}"
32,2009-05-01,0,0.3309350815872918,"{""type"":""Point"",""coordinates"":[-75.78933619991895,-5.945782975612446]}"
33,2009-10-13,0,0.785500813529653,"{""type"":""Point"",""coordinates"":[-77.28521359628384,-6.890502660955485]}"
34,2009-06-07,0,0.43329755880513066,"{""type"":""Point"",""coordinates"":[-77.30569775147015,-6.525571951158751]}"
35,2009-04-23,0,0.3088609997972558,"{""type"":""Point"",""coordinates"":[-75.83962565372784,-6.929511458644296]}"
36,2009-02-08,0,0.10540734362189463,"{""type"":""Point"",""coordinates"":[-75.80496615427175,-6.836006339265761]}"
