system:index,acq_date,incendio,random_date_id,.geo
0,2006-12-24,0,0.9820256287274941,"{""type"":""Point"",""coordinates"":[-75.5521215473338,-5.882379700992915]}"
2,2006-03-04,0,0.17046804397987125,"{""type"":""Point"",""coordinates"":[-76.16456069117528,-5.906320557671209]}"
3,2006-09-09,0,0.6915836998163855,"{""type"":""Point"",""coordinates"":[-75.68574152044755,-6.224278076163242]}"
4,2006-08-22,0,0.6427559237623118,"{""type"":""Point"",""coordinates"":[-76.16096804971144,-6.558646082464617]}"
5,2006-08-13,0,0.6161863358632421,"{""type"":""Point"",""coordinates"":[-76.68244565675566,-5.399995483023551]}"
6,2006-10-11,0,0.7784983471664114,"{""type"":""Point"",""coordinates"":[-76.83119639273687,-6.843242986862935]}"
7,2006-05-18,0,0.37857754883040884,"{""type"":""Point"",""coordinates"":[-76.6528349809883,-6.657837978191169]}"
8,2006-04-04,0,0.2577325491042326,"{""type"":""Point"",""coordinates"":[-77.41433372649782,-6.768773690834417]}"
10,2006-11-22,0,0.8949493983779402,"{""type"":""Point"",""coordinates"":[-76.41004319664097,-6.635301014584928]}"
11,2006-05-10,0,0.3555672060151912,"{""type"":""Point"",""coordinates"":[-76.89683303442592,-6.5749903992962055]}"
12,2006-03-30,0,0.24424540974035847,"{""type"":""Point"",""coordinates"":[-75.91710577734175,-6.233353095567226]}"
13,2006-05-31,0,0.4145586746771124,"{""type"":""Point"",""coordinates"":[-77.21180440723553,-5.39776817495506]}"
14,2006-10-08,0,0.7708505627777226,"{""type"":""Point"",""coordinates"":[-75.89152757203433,-6.140503448389999]}"
15,2006-03-28,0,0.23771278405710394,"{""type"":""Point"",""coordinates"":[-76.28088372901857,-6.60024344042182]}"
16,2006-10-05,0,0.7619248810783313,"{""type"":""Point"",""coordinates"":[-77.43871611391367,-5.851710851525425]}"
18,2006-07-19,0,0.5473165740922958,"{""type"":""Point"",""coordinates"":[-77.4440785223658,-6.965586863586331]}"
20,2006-03-12,0,0.1942954829046568,"{""type"":""Point"",""coordinates"":[-76.91418709127078,-5.530786000980501]}"
21,2006-12-26,0,0.9868080078986358,"{""type"":""Point"",""coordinates"":[-77.33989801092913,-7.232373566693578]}"
22,2006-07-24,0,0.5623955881544037,"{""type"":""Point"",""coordinates"":[-77.21308372983232,-5.237140372877251]}"
23,2006-06-01,0,0.4150081689064281,"{""type"":""Point"",""coordinates"":[-77.51645275784907,-6.9338065388714725]}"
24,2006-12-29,0,0.9970858345948401,"{""type"":""Point"",""coordinates"":[-75.74342232378346,-7.502611835705684]}"
25,2006-04-08,0,0.2668004998797182,"{""type"":""Point"",""coordinates"":[-77.37382860861014,-6.456445234793438]}"
26,2006-03-19,0,0.212205991147007,"{""type"":""Point"",""coordinates"":[-77.03036089290791,-6.368662376296837]}"
27,2006-12-28,0,0.993261098139633,"{""type"":""Point"",""coordinates"":[-75.61074686603133,-6.536633754882988]}"
29,2006-08-29,0,0.6597369470168895,"{""type"":""Point"",""coordinates"":[-77.51096806537585,-6.987442347939161]}"
30,2006-12-09,0,0.9411595423151158,"{""type"":""Point"",""coordinates"":[-76.50972621036057,-5.900355019577343]}"
31,2006-11-06,0,0.8497165215353021,"{""type"":""Point"",""coordinates"":[-77.10755017823716,-6.360887636963093]}"
32,2006-08-06,0,0.5986909721516996,"{""type"":""Point"",""coordinates"":[-75.78933619991895,-5.945782975612446]}"
33,2006-04-29,0,0.3254224206496312,"{""type"":""Point"",""coordinates"":[-77.28521359628384,-6.890502660955485]}"
34,2006-07-24,0,0.5605012873946617,"{""type"":""Point"",""coordinates"":[-77.30569775147015,-6.525571951158751]}"
35,2006-03-24,0,0.22791297257462495,"{""type"":""Point"",""coordinates"":[-75.83962565372784,-6.929511458644296]}"
36,2006-07-31,0,0.5800563180579472,"{""type"":""Point"",""coordinates"":[-75.80496615427175,-6.836006339265761]}"
38,2006-09-22,0,0.7265097661442793,"{""type"":""Point"",""coordinates"":[-77.10667831143273,-7.357911846364595]}"
39,2006-02-03,0,0.09178603518631656,"{""type"":""Point"",""coordinates"":[-76.99914864296008,-7.332916187784927]}"
40,2006-08-27,0,0.6553119386955796,"{""type"":""Point"",""coordinates"":[-77.24005682830844,-6.931342706605391]}"
41,2006-09-19,0,0.7182142663029409,"{""type"":""Point"",""coordinates"":[-76.89246315109985,-5.212462505465527]}"
42,2006-11-08,0,0.8547873304897862,"{""type"":""Point"",""coordinates"":[-75.60783919102062,-5.5941151159540015]}"
43,2006-12-06,0,0.9336616499323744,"{""type"":""Point"",""coordinates"":[-76.36283674136891,-6.380793727295641]}"
44,2006-10-30,0,0.8298525268591814,"{""type"":""Point"",""coordinates"":[-75.9583566123285,-5.298255475665205]}"
45,2006-11-17,0,0.8802624474040585,"{""type"":""Point"",""coordinates"":[-75.99938351654062,-6.076651418507213]}"
46,2006-09-03,0,0.6737206886038773,"{""type"":""Point"",""coordinates"":[-77.18695898534692,-6.196820810614756]}"
47,2006-08-13,0,0.6170837090627183,"{""type"":""Point"",""coordinates"":[-76.60562453766775,-6.5875457295775695]}"
48,2006-06-24,0,0.47903021452974637,"{""type"":""Point"",""coordinates"":[-76.45786537475786,-5.847773952672416]}"
49,2006-11-12,0,0.8662916283053663,"{""type"":""Point"",""coordinates"":[-76.21891493903652,-7.12053033714668]}"
