system:index,acq_date,incendio,random_date_id,.geo
0,2016-06-19,0,0.46648855291887037,"{""type"":""Point"",""coordinates"":[-75.5521215473338,-5.882379700992915]}"
1,2016-10-24,0,0.8160151294773899,"{""type"":""Point"",""coordinates"":[-76.74697083453398,-6.6726823357299025]}"
2,2016-01-25,0,0.06686287941238833,"{""type"":""Point"",""coordinates"":[-76.16456069117528,-5.906320557671209]}"
3,2016-05-13,0,0.3669236299916192,"{""type"":""Point"",""coordinates"":[-75.68574152044755,-6.224278076163242]}"
4,2016-12-29,0,0.9967696323111174,"{""type"":""Point"",""coordinates"":[-76.16096804971144,-6.558646082464617]}"
5,2016-09-18,0,0.7155211707562175,"{""type"":""Point"",""coordinates"":[-76.68244565675566,-5.399995483023551]}"
6,2016-11-13,0,0.8689825390078567,"{""type"":""Point"",""coordinates"":[-76.83119639273687,-6.843242986862935]}"
8,2016-07-29,0,0.5755062520424037,"{""type"":""Point"",""coordinates"":[-77.41433372649782,-6.768773690834417]}"
9,2016-12-08,0,0.9371387605608239,"{""type"":""Point"",""coordinates"":[-76.75572773731696,-6.696116083768962]}"
10,2016-11-10,0,0.8603819049922121,"{""type"":""Point"",""coordinates"":[-76.41004319664097,-6.635301014584928]}"
11,2016-11-14,0,0.8726825064220175,"{""type"":""Point"",""coordinates"":[-76.89683303442592,-6.5749903992962055]}"
13,2016-04-24,0,0.3137178419658767,"{""type"":""Point"",""coordinates"":[-77.21180440723553,-5.39776817495506]}"
14,2016-11-21,0,0.8926134339548647,"{""type"":""Point"",""coordinates"":[-75.89152757203433,-6.140503448389999]}"
16,2016-03-17,0,0.20917561097495307,"{""type"":""Point"",""coordinates"":[-77.43871611391367,-5.851710851525425]}"
17,2016-01-21,0,0.05644915659705885,"{""type"":""Point"",""coordinates"":[-76.07104877103448,-6.950538468924696]}"
18,2016-04-22,0,0.30698236269308865,"{""type"":""Point"",""coordinates"":[-77.4440785223658,-6.965586863586331]}"
19,2016-01-19,0,0.05025033520466804,"{""type"":""Point"",""coordinates"":[-76.36918688461087,-5.797671068529707]}"
20,2016-11-11,0,0.8655473340672923,"{""type"":""Point"",""coordinates"":[-76.91418709127078,-5.530786000980501]}"
21,2016-08-14,0,0.6197965700569092,"{""type"":""Point"",""coordinates"":[-77.33989801092913,-7.232373566693578]}"
22,2016-01-20,0,0.05247293115895524,"{""type"":""Point"",""coordinates"":[-77.21308372983232,-5.237140372877251]}"
23,2016-02-19,0,0.13549016075377973,"{""type"":""Point"",""coordinates"":[-77.51645275784907,-6.9338065388714725]}"
24,2016-12-29,0,0.9966138593930199,"{""type"":""Point"",""coordinates"":[-75.74342232378346,-7.502611835705684]}"
25,2016-06-12,0,0.44788187756957887,"{""type"":""Point"",""coordinates"":[-77.37382860861014,-6.456445234793438]}"
26,2016-12-09,0,0.9399321043820983,"{""type"":""Point"",""coordinates"":[-77.03036089290791,-6.368662376296837]}"
27,2016-02-24,0,0.15043707505696824,"{""type"":""Point"",""coordinates"":[-75.61074686603133,-6.536633754882988]}"
28,2016-12-08,0,0.9388184371048468,"{""type"":""Point"",""coordinates"":[-77.44889142586435,-6.727275952714791]}"
29,2016-09-05,0,0.6794724669581806,"{""type"":""Point"",""coordinates"":[-77.51096806537585,-6.987442347939161]}"
30,2016-10-23,0,0.811163981888477,"{""type"":""Point"",""coordinates"":[-76.50972621036057,-5.900355019577343]}"
