id,category,latitude,longitude
2,incendio,-5.8067,-76.0804
24,incendio,-5.9326,-75.7708
39,incendio,-6.3156,-75.8579
41,incendio,-7.9905,-76.6656
43,no_incendio,-5.914538807022697,-77.31789261845223
47,incendio,-6.7449,-76.5383
51,incendio,-6.7301,-76.8205
58,no_incendio,-6.963743688695052,-77.15890290229473
62,incendio,-5.7268,-77.3378
67,incendio,-5.3235,-76.4297
68,incendio,-7.2315,-76.8215
69,no_incendio,-5.4484392138134945,-75.95921509359859
70,no_incendio,-6.308716369141198,-75.7579038479895
73,incendio,-8.279,-76.4755
76,no_incendio,-5.990542250974831,-75.6694532466171
78,no_incendio,-7.196044028055804,-76.77405078763431
85,incendio,-7.6694,-76.4818
86,no_incendio,-6.86277091910318,-76.45893260017807
90,incendio,-7.0969,-76.2717
91,incendio,-6.1355,-77.1559
99,incendio,-7.4713,-76.6729
100,incendio,-5.8994,-76.1109
103,incendio,-7.2881,-76.5956
119,no_incendio,-6.591526889483433,-77.26946848843974
121,no_incendio,-6.796333772184817,-76.78935654696676
124,incendio,-7.2872,-76.3449
130,incendio,-6.0243,-76.338
142,no_incendio,-5.463870053471811,-75.65012298252523
157,incendio,-6.2234,-75.849
160,incendio,-7.1544,-76.9812
166,incendio,-8.4723,-76.4491
168,incendio,-7.3162,-77.0751
170,no_incendio,-5.4225864404931166,-77.44996456310464
173,no_incendio,-6.632429838819291,-76.85546244307059
175,no_incendio,-7.502611835705684,-75.74342232378346
180,no_incendio,-6.007162927883913,-76.5503319635523
183,no_incendio,-7.527611322889828,-76.67002527157386
186,incendio,-8.1582,-76.7073
193,no_incendio,-6.042344688075439,-75.58423135699039
204,incendio,-7.4608,-76.5578
207,no_incendio,-7.53303009358015,-76.30539007678105
213,incendio,-7.1044,-76.0764
216,no_incendio,-6.271617281791801,-76.2353167311132
218,no_incendio,-6.550462961960492,-75.75305667586812
222,incendio,-7.1584,-76.2881
223,no_incendio,-5.900117559948675,-75.56284439390626
232,no_incendio,-7.230008103453095,-76.43726823574747
238,no_incendio,-5.996065973339257,-76.13966106255965
239,incendio,-8.3944,-76.4116
242,incendio,-7.6699,-76.4433
243,incendio,-7.21,-76.9618
245,incendio,-8.2703,-76.4643
248,no_incendio,-5.3130357942785436,-76.58858316456917
252,no_incendio,-5.759511577701185,-76.14983081507849
265,no_incendio,-6.154726709997222,-75.55076367684507
268,no_incendio,-6.887017706594157,-77.30533643415299
270,incendio,-6.6,-75.7023
271,no_incendio,-7.475413502587504,-75.52501286015236
