id,category,latitude,longitude
1,no_incendio,-7.301995634610949,-77.3052348248029
3,incendio,-6.1088,-76.1611
6,incendio,-7.3847,-76.5837
11,no_incendio,-7.217469611041255,-75.6059674027119
15,incendio,-6.7501,-76.131
17,incendio,-7.3286,-76.7197
18,no_incendio,-5.46295343513328,-75.95414593487065
19,incendio,-6.2234,-76.1563
20,no_incendio,-6.602549423318465,-77.00681560184587
29,incendio,-6.7509,-76.2391
37,incendio,-8.7012,-76.3377
44,no_incendio,-6.4776266103105895,-77.14737002070362
46,incendio,-6.6429,-76.5004
48,no_incendio,-7.2373332017811665,-76.09425476964923
49,incendio,-6.4939,-76.3643
50,no_incendio,-5.404889796153065,-75.52356189843724
53,incendio,-6.728,-76.1252
57,no_incendio,-7.5964500853796,-76.68614160369373
63,incendio,-5.4882,-76.7853
71,incendio,-8.0332,-77.252
79,incendio,-6.2327,-76.0947
83,incendio,-7.2231,-77.007
92,incendio,-7.4639,-76.5131
93,incendio,-8.2755,-76.5947
94,incendio,-6.6036,-76.7867
95,incendio,-6.7794,-76.5126
107,no_incendio,-6.468598557394471,-76.29833017428093
112,no_incendio,-6.388532043555506,-76.84726928607184
118,no_incendio,-5.811469366759115,-76.0719190251322
120,incendio,-6.5728,-76.728
126,incendio,-6.9554,-76.2718
132,incendio,-6.2104,-77.246
137,incendio,-6.5685,-76.536
138,incendio,-6.9684,-76.807
139,incendio,-6.7023,-76.759
140,incendio,-7.4074,-76.7001
144,incendio,-7.0959,-76.2926
145,no_incendio,-6.741440234624422,-77.09605125719467
146,no_incendio,-5.787648723882205,-76.3637582070336
149,no_incendio,-5.846023239980903,-75.59058432825728
154,no_incendio,-5.441048358116876,-77.52077786090675
155,no_incendio,-6.7528370184185675,-75.79463738047077
161,incendio,-6.7985,-76.9152
169,no_incendio,-7.324122621539671,-77.54410654355205
172,no_incendio,-6.184018518963494,-76.64827203950954
174,incendio,-8.5775,-76.3486
181,incendio,-8.69,-76.312
188,incendio,-7.0926,-76.7799
192,incendio,-7.5517,-76.5185
201,no_incendio,-5.586947404667705,-76.96796502244129
209,no_incendio,-6.467906945467672,-76.60396630033286
215,incendio,-7.4553,-76.5696
227,no_incendio,-7.527307126647749,-77.12744201881532
240,incendio,-5.81,-76.2916
241,no_incendio,-7.017817860779479,-76.95461934375838
249,incendio,-8.1752,-77.0513
250,no_incendio,-7.584063938890335,-77.08532363724217
251,incendio,-6.9436,-76.1727
255,no_incendio,-6.061671698446887,-76.35844064270319
256,no_incendio,-7.234182176376593,-76.40213823666475
258,no_incendio,-6.188812026219859,-77.47999723724293
261,incendio,-7.48,-76.7416
264,no_incendio,-5.955706826060275,-77.52353123807491
267,no_incendio,-7.3045123106112335,-75.99723406684437
274,incendio,-7.4584,-76.5448
276,no_incendio,-5.668562711065817,-75.61105576661728
281,incendio,-7.2865,-76.2983
282,incendio,-7.2507,-76.632
295,no_incendio,-5.306306841629591,-77.15046908916776
