id,category,latitude,longitude
7,no_incendio,-6.013807781245941,-77.54515653099793
8,incendio,-6.3054,-76.2858
10,incendio,-6.0358,-76.8732
16,no_incendio,-6.505676796415307,-75.74448285313693
21,incendio,-6.2684,-76.001
22,no_incendio,-5.525166300103762,-76.64412404917219
26,incendio,-6.8162,-76.647
28,no_incendio,-5.8091800479019735,-77.2012977286717
33,no_incendio,-5.60683404112794,-77.27867668965091
40,no_incendio,-5.815972204611399,-75.5996631905604
52,no_incendio,-7.1211989995442275,-77.24932556813594
56,incendio,-6.5471,-76.3742
61,no_incendio,-7.564076009944549,-75.89157611790941
72,no_incendio,-7.289453419528988,-76.70433724655702
80,no_incendio,-6.5273014114668,-77.07055670023018
81,no_incendio,-6.731898455104795,-77.28317456533246
82,no_incendio,-6.187799355462546,-77.0520465624197
97,incendio,-5.9789,-75.9283
98,no_incendio,-6.934543735011002,-76.3579106281597
104,incendio,-7.2533,-77.001
114,no_incendio,-6.812854444766214,-76.31590409569822
122,incendio,-6.4496,-77.0849
125,no_incendio,-5.459589434430045,-76.77318023823041
129,no_incendio,-5.733857068651538,-76.80904901377532
131,no_incendio,-6.726381012789614,-77.29263321460805
150,incendio,-6.9788,-76.5672
152,incendio,-8.5357,-76.3439
156,incendio,-7.0998,-76.8302
158,incendio,-7.0248,-76.6652
162,no_incendio,-5.859392269860992,-77.07597134063963
163,incendio,-7.522,-76.4931
165,no_incendio,-6.796720182530489,-75.69073110670904
167,no_incendio,-5.661805796480656,-77.53514186743837
171,no_incendio,-6.530680448143941,-77.14936961816767
177,incendio,-5.8895,-76.3037
184,no_incendio,-7.3680402233360685,-75.9380390323052
187,incendio,-6.5009,-76.7696
195,incendio,-8.2367,-76.5532
198,no_incendio,-6.482952600752266,-75.66603340235945
202,no_incendio,-6.420856851462068,-76.77933512635609
206,no_incendio,-7.329270682828255,-76.84451015929197
224,no_incendio,-5.9272520922930445,-77.17976360795232
228,incendio,-8.3697,-76.547
230,incendio,-7.449,-76.5875
234,incendio,-6.7543,-76.4774
253,no_incendio,-6.424415078222516,-76.56153900049968
257,no_incendio,-7.491547550658209,-77.41447872545433
260,incendio,-6.9868,-76.2995
275,no_incendio,-6.905350281771543,-75.85773993313076
279,no_incendio,-6.74885592845062,-76.02672128613708
287,no_incendio,-5.382544750033527,-75.77853597502654
288,no_incendio,-6.006937780860308,-77.45432250461575
290,no_incendio,-6.161493803649726,-77.185392683239
293,incendio,-6.3029,-75.6857
294,incendio,-8.6634,-76.3829
299,incendio,-5.6216,-75.8956
304,no_incendio,-5.631534863423365,-75.5444078955286
308,incendio,-5.7317,-77.3506
312,no_incendio,-6.0017769805371435,-76.54978075200272
317,incendio,-6.8268,-76.4025
326,no_incendio,-7.52002816732032,-76.85728021112728
329,incendio,-7.5501,-76.5069
351,no_incendio,-6.0889717541826,-76.72492959412638
368,no_incendio,-6.238722534494159,-76.96599757551694
371,no_incendio,-7.53303009358015,-76.30539007678105
378,incendio,-6.85,-76.5495
385,incendio,-6.1519,-75.951
398,no_incendio,-7.000863457307533,-75.58957693762711
406,no_incendio,-6.536547874138972,-77.31298293788737
419,incendio,-6.8294,-76.3934
425,incendio,-6.5706,-76.5437
437,no_incendio,-6.042344688075439,-75.58423135699039
438,no_incendio,-5.306363621970229,-76.4042560042154
443,no_incendio,-5.4324592687941,-76.16239104777486
450,no_incendio,-6.036634194085042,-76.33475368850613
462,no_incendio,-6.882432262080377,-75.90126287963834
471,no_incendio,-6.09585600344774,-76.33181330264762
472,incendio,-5.8831,-77.1426
505,no_incendio,-6.726508547372632,-75.8805912365982
506,incendio,-6.691,-76.8741
511,no_incendio,-7.1695522446443345,-76.10103400972879
515,incendio,-6.1187,-75.9433
519,no_incendio,-5.530786000980501,-76.91418709127078
523,incendio,-6.8355,-76.6122
529,no_incendio,-6.84710555088138,-75.520478621097
538,no_incendio,-6.687814799910479,-75.56700420232013
543,incendio,-7.5234,-76.7551
551,no_incendio,-7.53303009358015,-76.30539007678105
555,no_incendio,-5.418336191471334,-77.27363994749886
560,incendio,-7.5521,-76.2204
572,no_incendio,-6.6588540055381635,-76.3643446123623
575,no_incendio,-6.650069273774372,-77.45753589439983
577,no_incendio,-6.923846443514746,-77.29283624638697
578,incendio,-6.3616,-76.5987
619,incendio,-6.6296,-76.7144
625,incendio,-6.3244,-76.1218
628,incendio,-6.9825,-76.7864
644,no_incendio,-6.178368777472011,-76.33706394423045
645,incendio,-6.1139,-76.2925
646,incendio,-6.9688,-76.4803
647,no_incendio,-6.1419091354730675,-76.8668930112328
649,no_incendio,-5.362697688980843,-76.37235425327088
660,incendio,-6.4546,-75.7626
665,incendio,-6.2004,-77.7196
669,no_incendio,-5.875471323487407,-77.45654526806348
673,no_incendio,-7.352637322565051,-76.5869966012663
682,incendio,-6.504,-77.4626
684,incendio,-7.6799,-76.4732
689,no_incendio,-6.71467279372098,-77.07743264874856
690,incendio,-7.3022,-76.7531
700,incendio,-6.7562,-76.2751
714,incendio,-8.1161,-76.6691
715,no_incendio,-6.6015678247259215,-76.27888093028594
717,no_incendio,-5.500738315784995,-75.59662427893288
719,incendio,-8.1237,-76.5201
740,no_incendio,-7.208517788052751,-77.27726682011853
748,no_incendio,-5.8568748352763045,-75.92620225226696
752,incendio,-5.8753,-75.9293
766,incendio,-7.5165,-76.5423
770,incendio,-7.1474,-76.1042
782,no_incendio,-7.457798199513177,-76.25066528876945
784,no_incendio,-6.737802446576857,-76.76156798779444
