latitude,longitude,target,Date,year,month,day,day_of_year,Distance_to_equator,Is_dry_season,lat_round,lon_round,Temp_max,NDVI
-6.114431837075887,-77.3791914454974,0,2000-01-01,2000,1,1,1,678.7019339154235,0,-6.11,-77.38,-273.15,0.1814
-6.0854129819425,-76.79698741171129,0,2000-01-01,2000,1,1,1,675.4808409956174,0,-6.09,-76.8,-271.7322041150658,0.539639434422233
-7.554963436234575,-75.69130210162552,0,2000-01-01,2000,1,1,1,838.6009414220377,0,-7.55,-75.69,-273.15,0.4555
-7.0475824644559095,-77.00777977835193,0,2000-01-01,2000,1,1,1,782.281653554606,0,-7.05,-77.01,-273.15,0.199
-5.902847721330155,-77.17634156149673,0,2000-01-01,2000,1,1,1,655.2160970676472,0,-5.9,-77.18,-273.15,0.399
-6.3028561898427915,-76.27802291650278,0,2000-01-01,2000,1,1,1,699.6170370725498,0,-6.3,-76.28,-267.0936,0.7806
-6.911906202214161,-76.30385492841812,0,2000-01-02,2000,1,2,2,767.2215884457719,0,-6.91,-76.3,-273.15,0.6623
-7.510787208532104,-75.93881161563174,0,2000-01-02,2000,1,2,2,833.6973801470635,0,-7.51,-75.94,-273.15,0.1366
-5.9287884158970305,-76.31836219337158,0,2000-01-02,2000,1,2,2,658.0955141645704,0,-5.93,-76.32,-273.15,0.7899
-5.702364736345534,-76.72144500150783,0,2000-01-02,2000,1,2,2,632.9624857343542,0,-5.7,-76.72,-273.15,0.2477
-6.097161064451766,-76.22638691915272,0,2000-01-02,2000,1,2,2,676.7848781541461,0,-6.1,-76.23,-271.7322041150658,0.539639434422233
-7.493235179350296,-76.56434016404388,0,2000-01-03,2000,1,3,3,831.7491049078828,0,-7.49,-76.56,-273.15,0.8206
-6.949415512269831,-76.30894649629607,0,2000-01-03,2000,1,3,3,771.3851218619512,0,-6.95,-76.31,-273.15,0.791
-6.509338593690795,-76.81131065559471,0,2000-01-03,2000,1,3,3,722.5365838996782,0,-6.51,-76.81,-273.15,0.8858
-6.1174086914739405,-75.65121133854548,0,2000-01-04,2000,1,4,4,679.0323647536075,0,-6.12,-75.65,-273.15,0.9928
-5.62794321017974,-76.97851232659868,0,2000-01-04,2000,1,4,4,624.7016963299512,0,-5.63,-76.98,-273.15,0.2944
-5.603013181516009,-76.25847933744605,0,2000-01-04,2000,1,4,4,621.934463148277,0,-5.6,-76.26,-273.15,0.2636
-7.265385570436415,-76.15256195898944,0,2000-01-04,2000,1,4,4,806.4577983184421,0,-7.27,-76.15,-273.15,0.8763
-6.559793328628168,-75.94281873717337,0,2000-01-04,2000,1,4,4,728.1370594777267,0,-6.56,-75.94,-273.15,0.3248
-6.741440234624422,-77.09605125719467,0,2000-01-04,2000,1,4,4,748.2998660433109,0,-6.74,-77.1,-273.15,0.9144
-6.797128032172363,-76.15133853102378,0,2000-01-04,2000,1,4,4,754.4812115711323,0,-6.8,-76.15,-273.15,0.9011
-7.192625795202753,-75.79931940133156,0,2000-01-05,2000,1,5,5,798.3814632675056,0,-7.19,-75.8,-273.15,0.9339
-5.522972759309926,-75.80819311512354,0,2000-01-05,2000,1,5,5,613.0499762834019,0,-5.52,-75.81,-273.15,0.4086
-7.5348116135080625,-76.04270078901092,0,2000-01-05,2000,1,5,5,836.364089099395,0,-7.53,-76.04,-273.15,0.5226
-5.304216028521146,-77.22955638933952,0,2000-01-06,2000,1,6,6,588.7679791658471,0,-5.3,-77.23,-273.15,0.6377
-7.509252354285814,-75.54465114823546,0,2000-01-06,2000,1,6,6,833.5270113257253,0,-7.51,-75.54,-273.15,0.9011
-7.449590892373755,-76.60010791486725,0,2000-01-06,2000,1,6,6,826.9045890534868,0,-7.45,-76.6,-271.7322041150658,0.539639434422233
-5.412071364186887,-77.00251056339543,0,2000-01-06,2000,1,6,6,600.7399214247445,0,-5.41,-77.0,-273.15,0.8585
-7.536087990026042,-76.53899168088374,0,2000-01-06,2000,1,6,6,836.5057668928906,0,-7.54,-76.54,-273.15,0.8987
-6.134775971165761,-75.80907324993491,0,2000-01-06,2000,1,6,6,680.9601327993994,0,-6.13,-75.81,-273.15,0.4097
-6.459421110313875,-76.2975020951517,0,2000-01-06,2000,1,6,6,716.9957432448401,0,-6.46,-76.3,-267.16159999999996,0.7663
-7.132478183195441,-76.65634588857769,0,2000-01-07,2000,1,7,7,791.7050783346939,0,-7.13,-76.66,-271.7322041150658,0.539639434422233
-7.062719614900722,-75.90547044520231,0,2000-01-07,2000,1,7,7,783.9618772539801,0,-7.06,-75.91,-273.15,0.9466
-6.623625617650361,-76.4412657181978,0,2000-01-07,2000,1,7,7,735.2224435591901,0,-6.62,-76.44,-271.7322041150658,0.539639434422233
-6.467906945467672,-76.60396630033286,0,2000-01-07,2000,1,7,7,717.9376709469117,0,-6.47,-76.6,-273.15,0.5031
-7.384620420011121,-76.77592855304549,0,2000-01-07,2000,1,7,7,819.6928666212344,0,-7.38,-76.78,-273.15,0.814
-5.382544750033527,-75.77853597502654,0,2000-01-08,2000,1,8,8,597.4624672537215,0,-5.38,-75.78,-273.15,0.1742
-6.044769424983038,-75.50599138370771,0,2000-01-08,2000,1,8,8,670.9694061731171,0,-6.04,-75.51,-273.15,0.3667
-7.319106221775668,-76.84964608294781,0,2000-01-08,2000,1,8,8,812.4207906170991,0,-7.32,-76.85,-271.7322041150658,0.539639434422233
-6.271617281791801,-76.2353167311132,0,2000-01-08,2000,1,8,8,696.1495182788899,0,-6.27,-76.24,-273.15,0.733
-5.8511939634062635,-76.52247944634267,0,2000-01-09,2000,1,9,9,649.4825299380952,0,-5.85,-76.52,-273.15,0.8673
-7.593724484851976,-77.34754973911781,0,2000-01-09,2000,1,9,9,842.9034178185693,0,-7.59,-77.35,-271.7322041150658,0.539639434422233
-6.602549423318465,-77.00681560184587,0,2000-01-10,2000,1,10,10,732.8829859883497,0,-6.6,-77.01,-273.15,0.6898
-5.87938832915223,-76.90538612384941,0,2000-01-10,2000,1,10,10,652.6121045358976,0,-5.88,-76.91,-273.15,0.4482
-7.140032609231243,-75.65901239539657,0,2000-01-10,2000,1,10,10,792.5436196246679,0,-7.14,-75.66,-273.15,0.4425
-5.77315746853071,-76.36797107270804,0,2000-01-10,2000,1,10,10,640.8204790069087,0,-5.77,-76.37,-271.7322041150658,0.539639434422233
-5.863095020713222,-75.7889986714283,0,2000-01-10,2000,1,10,10,650.8035472991676,0,-5.86,-75.79,-273.15,0.7348
-7.269040165613338,-76.9103123983766,0,2000-01-10,2000,1,10,10,806.8634583830805,0,-7.27,-76.91,-273.15,0.6499
-6.726577938090313,-76.92865414529734,0,2000-01-11,2000,1,11,11,746.6501511280247,0,-6.73,-76.93,-271.7322041150658,0.539639434422233
-6.9256501234330665,-77.07157879837493,0,2000-01-11,2000,1,11,11,768.7471637010703,0,-6.93,-77.07,-273.15,0.2394
-7.324938939394847,-75.95193264911674,0,2000-01-11,2000,1,11,11,813.0682222728279,0,-7.32,-75.95,-273.15,0.1109
-5.817722164420606,-76.05024701906109,0,2000-01-11,2000,1,11,11,645.7671602506872,0,-5.82,-76.05,-267.114,0.7462
-5.450166959625918,-77.00835031536832,0,2000-01-11,2000,1,11,11,604.9685325184769,0,-5.45,-77.01,-273.15,0.6758
-7.347824110154567,-75.82503332128289,0,2000-01-11,2000,1,11,11,815.608476227157,0,-7.35,-75.83,-273.15,0.487
-5.867404604520736,-75.92995443578674,0,2000-01-11,2000,1,11,11,651.2819111018017,0,-5.87,-75.93,-273.15,0.3673
-6.215385324683509,-77.39247138767627,0,2000-01-11,2000,1,11,11,689.9077710398695,0,-6.22,-77.39,-273.15,0.0514
-6.061517131296685,-76.40854652459227,0,2000-01-11,2000,1,11,11,672.8284015739321,0,-6.06,-76.41,-273.15,0.6252
-6.1156293221158835,-76.01949781132349,0,2000-01-12,2000,1,12,12,678.834854754863,0,-6.12,-76.02,-273.15,0.8807
-5.463870053471811,-75.65012298252523,0,2000-01-12,2000,1,12,12,606.489575935371,0,-5.46,-75.65,-273.15,0.7891
-7.188505073730313,-76.90328431055737,0,2000-01-12,2000,1,12,12,797.9240631840647,0,-7.19,-76.9,-271.7322041150658,0.539639434422233
-6.089075896633828,-77.11331132604498,0,2000-01-12,2000,1,12,12,675.887424526355,0,-6.09,-77.11,-273.15,0.7291
-7.5389429366733145,-76.3612819242991,0,2000-01-12,2000,1,12,12,836.822665970738,0,-7.54,-76.36,-273.15,0.144
-6.679897679386204,-77.34823338283437,0,2000-01-12,2000,1,12,12,741.4686424118686,0,-6.68,-77.35,-273.15,0.7065
-5.406105166280382,-76.83363539988324,0,2000-01-12,2000,1,12,12,600.0776734571224,0,-5.41,-76.83,-271.7322041150658,0.539639434422233
-6.88204939673875,-76.47181029595973,0,2000-01-12,2000,1,12,12,763.9074830380013,0,-6.88,-76.47,-273.15,0.8247
-7.23268535501901,-75.71791421763211,0,2000-01-13,2000,1,13,13,802.8280744071101,0,-7.23,-75.72,-271.7322041150658,0.539639434422233
-7.000863457307533,-75.58957693762711,0,2000-01-13,2000,1,13,13,777.0958437611362,0,-7.0,-75.59,-273.15,0.2436
-7.010865933982342,-76.63167881965191,0,2000-01-13,2000,1,13,13,778.20611867204,0,-7.01,-76.63,-273.15,0.3578
