id,category,latitude,longitude
12,incendio,-5.8548,-77.0825
13,no_incendio,-5.900355019577343,-76.50972621036057
14,incendio,-5.4729,-76.7668
25,incendio,-8.7825,-77.6487
27,incendio,-7.3245,-76.2875
31,no_incendio,-7.485621627002571,-76.9594043618508
32,incendio,-6.0074,-75.9734
35,no_incendio,-7.312843125933768,-75.51939324111113
36,incendio,-5.3249,-76.4386
45,incendio,-7.2996,-76.44
60,no_incendio,-6.575273134907994,-75.71241319767115
64,no_incendio,-6.976092489979531,-77.35059361204593
65,incendio,-6.8226,-76.9756
75,no_incendio,-7.446777051363318,-75.55823277277759
77,no_incendio,-6.929511458644296,-75.83962565372784
84,incendio,-7.525,-76.4671
88,incendio,-6.2371,-76.1341
89,no_incendio,-6.48340164417584,-76.67965578486029
102,incendio,-7.6968,-77.5053
105,incendio,-7.1615,-76.8802
111,incendio,-7.3292,-76.062
128,incendio,-6.6658,-77.0031
133,no_incendio,-6.777339583024972,-77.16983093641421
134,no_incendio,-7.448422790645704,-75.84545299813023
141,no_incendio,-7.418524326808485,-76.32670813744515
147,no_incendio,-6.100924085847581,-75.50738744279523
148,incendio,-5.6273,-76.6446
159,incendio,-6.175,-76.2753
176,incendio,-6.9705,-76.5358
179,incendio,-6.312,-76.647
185,no_incendio,-6.942876340672963,-76.33358150381483
191,no_incendio,-5.525166300103762,-76.64412404917219
196,incendio,-7.4646,-76.5593
197,no_incendio,-7.299495014578471,-76.02669026239053
200,incendio,-6.8781,-76.8717
212,incendio,-5.759,-77.1172
214,incendio,-5.639,-76.513
219,incendio,-7.5696,-76.7046
221,no_incendio,-6.590453070259288,-76.04913179233263
225,incendio,-6.9823,-76.1676
231,incendio,-7.4467,-76.6381
246,incendio,-7.7575,-76.7684
254,no_incendio,-6.535104750481092,-76.08251249993276
266,incendio,-8.4865,-77.0021
269,incendio,-7.1987,-77.0236
272,incendio,-7.4686,-76.389
273,incendio,-5.9759,-76.2832
277,incendio,-5.8644,-76.0035
278,no_incendio,-6.439049170355273,-77.46289627422017
284,incendio,-7.1478,-76.8489
286,incendio,-6.9098,-76.268
291,no_incendio,-7.181016545835497,-77.14662187463146
298,no_incendio,-5.441244045280792,-76.19936571316805
305,no_incendio,-6.040687375273645,-76.93582583750656
307,no_incendio,-5.811469366759115,-76.0719190251322
309,no_incendio,-6.9821795229188215,-77.4814837765738
311,no_incendio,-6.22948269148436,-77.46060172999928
314,no_incendio,-5.921387481016298,-75.640821414452
315,incendio,-6.8153,-76.5237
318,incendio,-7.2342,-76.4128
330,incendio,-7.0855,-76.8773
332,no_incendio,-5.454661580886559,-77.46777785872058
336,incendio,-5.9404,-76.2607
340,no_incendio,-6.3427644504242675,-77.35180398852548
341,no_incendio,-6.006937780860308,-77.45432250461575
342,no_incendio,-6.395505819847665,-76.99761432969862
343,incendio,-7.161,-76.4725
348,no_incendio,-5.504024274503536,-76.47223087280436
